ID,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH,cwInv,cytInv,vacInv,FK,HX,PGI,PFK,Aldolase,AGPase,PGM,UGPaseP,G6PDH
CVI,56,585.16,720.72,0.2,0.21,1.3,NA,0.26,2.2,0.16,0.11,3.3,25.19,903.27,1096.7,0.32,0.08,51.51,NA,0.9,6.28,1.3,5.43,NA,63.89,998.86,1114.12,0.21,0.12,27.49,0.02,0.21,3.6,0.82,3.94,NA
B244,NA,NA,105.7,0.67,NA,NA,NA,1.17,NA,NA,0.15,NA,NA,NA,913.37,6.85,0.8,15.91,NA,26.17,1.22,0.27,NA,NA,NA,NA,1506.09,9.27,NA,31.94,NA,22.79,3.15,NA,NA,NA
C24,28.19,108.99,109.73,0.16,0.08,NA,NA,5.18,0.74,0.3,0.54,5.78,47.09,831.84,936.2,0.26,0.07,46.19,0.09,0.29,5.95,NA,6.96,NA,8.63,597.66,575.62,0.43,0.21,34.52,0.08,0.26,NA,0.97,6.06,0.46
R16,1.54,NA,447.97,0.17,0.1,10.16,0.64,0.01,0.63,8.32,1.42,1.87,16.99,NA,1347.37,0.78,0.11,42.2,2.87,0.11,2.67,28.32,8.15,4.3,28.52,NA,1460.63,0.86,0.13,28.87,1.64,0.07,2.71,24.82,6.03,3.5
B149,3.91,NA,499.35,0.21,0.11,10.73,1.19,0.16,0.82,7.41,1.44,2.17,41.94,NA,2497.72,0.61,0.3,26.22,2.48,0.6,2.66,26.83,5.91,3.94,33.72,NA,2346.43,0.71,0.2,32.47,1.46,0.96,2.08,16.77,5.84,2.49
COL0,50.14,289.71,327.48,0.39,0.2,0.95,0.24,7.37,4.02,0.65,1.55,4.31,18.2,1058.66,1134.3,0.92,0.21,NA,NA,0.33,17.71,17.06,NA,NA,17.33,2150.75,80.54,0.58,0.35,NA,0.14,0.26,12.39,3.84,9.9,0.95
B351,2.57,NA,624.1,0.15,0.07,14.62,0.7,0.77,0.97,10.17,1.73,2.67,77.83,NA,4146.92,1.33,0.13,51.01,4.63,2.62,2.97,41.01,12.51,10.19,51.77,NA,4102.72,1.13,0.26,52.76,4.29,1.1,4.41,33.16,10.57,4.73
B257,30.05,NA,45.23,0.05,0.05,0.38,0.03,0.12,NA,0.07,0.28,16.15,92.94,217.42,201.41,1.17,0.18,1.82,0.36,0.39,1.62,6.32,0.44,3.07,152.96,272,279.1,1.42,0.14,14.58,0.36,2.95,2.54,1.5,0.25,0.52
B102,13.07,NA,23.66,0.15,NA,0.03,NA,1.54,0.09,0.06,0.13,0.42,65.05,NA,399.92,1.07,0.08,NA,NA,0.1,0.65,0.68,1.77,0.18,6.89,NA,710.62,1.11,NA,0.19,NA,0.73,1.78,0.74,NA,0.21
B307,46.57,NA,46.19,NA,0.1,NA,0.06,0.96,0.21,NA,0.11,NA,3.27,NA,271.81,0.95,NA,1.59,NA,5.64,0.72,0.43,1.03,0.64,31.97,NA,684.33,1.47,0.34,28.83,0.82,2.1,0.59,NA,4.66,0.68
