ID;longitude;latitude
CVI;16,00;-23,00
B244;22,46;32,34
B158;-8,43;40,21
C24 (B158);-8,43;40,21
R16;68,48;38,35
B149;2,80;41,68
COL0;38,00;92,00
COL0;38,00;92,00
Nore1;38,00;92,00
B351;0,17;46,65
B257;-0,25;46,65
B257;-0,25;46,65
B102;1,10;49,44
B307;4,12;46,67
B236;5,32;47,38
B236;5,32;47,38
B70;8,27;50,00
B90;-3,58;50,35
B340;0,40;51,20
B340;0,40;51,20
VAN0;49,00;-123,00
VAN0;49,00;-123,00
B98;-123,21;49,27
B98;-123,21;49,27
B243;9,30;49,00
B243;9,30;49,00
B137;-86,33;42,09
B88;-1,72;51,42
B55;16,62;49,20
B87;0,06;51,29
KAS1;34,00;74,00
KAS1;34,00;74,00
B353;8,26;47,25
B353;8,26;47,25
B37;8,39;50,17
B123;21,00;52,30
B123;21,00;52,30
B146;11,00;49,00
B216;10,87;47,98
B106;15,88;49,18
B358;16,25;49,39
Ore1;52,50;15,50
B56;15,00;49,00
B56;15,00;49,00
B345;13,97;56,06
B198;15,76;49,33
B194;13,74;56,10
B303;13,85;55,95
WS0;52,00;30,00
WS0;52,00;30,00
B255;6,13;60,23
B342;1,10;51,30
MS0;58,00;38,00
MS0;58,00;38,00
N13;61,36;34,15
E116;72,47;37,35
E116;72,47;37,35
E44;73,63;42,58
E44;73,63;42,58
